company_name,size,geography,sector,painpoints,desired_solutions,ninety_summary,other_information
Beazley,5.99 billion USD,"UK, Europe, North America, Latin America, Asia",Specialty Insurance,"Existing 'growth and innovation champion' group needs rethinking/resetting, lacks commonality/consistency in proposition development, requires skillset refresh and expanded horizons, needs capability in problem definition/idea validation/assessment, and aims for more tangible outcomes with greater pace/focus/rigor.","Reimagine and reset the 'growth and innovation champion' group into a committed cohort, expand their horizons, provide a skillset refresh, equip them with innovation tools/techniques, develop a consistent approach to new propositions, galvanize an innovation culture/mindset, achieve tangible outcomes quickly, and maximize champion potential.","Ninety is an innovation expert for the insurance sector, offering virtual Insurance Innovation Bootcamps based on their 123 Framework. This training equips practitioners with tools and mindsets for problem definition, ideation, filtering, and assessing ideas, leveraging Ninety's battle-tested methodology for bringing new insurance ideas to market in 60 days.","Target: Beazley's 'growth and innovation champion' network (c. 30 members). Bootcamp includes 3 x 4-hour workshops, 1 hour coaching, for up to 10 participants. Format is 100% remote. Fees: £12,000 per bootcamp, £10,000 for 3+, or bundles like £24,000 for 2, £30,000 for 3 (excluding VAT). Timeline: approx. 2 weeks for two training sets. Ninety's framework will be used, referencing Beazley's internal framework."
CTM_Zurich_Bupa Joint,unknown,unknown,unknown,"Reduced confidentiality/integrity/availability, reputation damage, financial loss from breaches, non-compliance with regulations (e.g., UK DPA), insufficient security awareness, physical/logical security gaps, need to consolidate learnings, accelerate growth, and deploy best practices in proposition development.","Robust information security policy, defined responsibilities, risk assessment framework, secure data storage and encryption, access controls, incident response, regular backups, disaster recovery, Ninety's 123 Framework for structured proposition development, collaborative client engagement.","Ninety maintains a comprehensive Information Security Policy to protect its and client data, ensuring compliance and business continuity. Additionally, Ninety offers its 123 Framework and team expertise to help clients accelerate growth and innovate insurance propositions.","Information Security Policy dated Feb 12th, 2019, authored by Nkechi Langley. Office locations in London and New York. Client (Allianz AGCS) mentioned in October 2019 presentation. Ninety team members for presentation: Harvey Wade, Tom Hardcastle, Dan Webster, Michael Bean."
Chubb,unknown,Global,Property and Casualty Insurance,Incumbents underutilize available digital technology and data. They lack the ambition to digitize and achieve UX excellence compared to new players. Complacency risks being outmaneuvered by 'newcumbents'. Legacy systems and corporate culture impede rapid innovation and greenfield approaches. Difficulty scaling digital-first models to complex products is a concern.,"Incumbents should maximize existing and new digital technologies, squeezing 'lemons' harder. They need to develop strong digital ambition and UX, leveraging historical data with new data capture. Adopting greenfield approaches, hiring entrepreneurial talent, and giving NewCo freedoms are key. Focus on driving bold transformations in distribution, ecosystems, and new mutuals. Learn from 'bigger fish' like Ping An for tech advancements.","Lemonade's success isn't due to 'magic' tech but smart application. Its growth model is a 'leaky bucket' with modest retention and poor LTV, likely to face headwinds. Lemonade may be a 'MySpace' for insurtech, paving the way for other 'newcumbents'. Ninety advises incumbents to 'Rise to the challenge' by leveraging their inherent strengths (data, brand, LTV) and embracing deeper, more fundamental transformations rather than fearing Lemonade.","Ninety is an innovation expert for the insurance sector, taking ideas to market in 60 days. They have global offices and donate 90% of distributable profits to charity. Lemonade is framed as a challenge, not a threat. Lemonade's strengths include digital-first UX and AI/ML, but weaknesses include unproven scalability for complex products and limited data quality. The market is shifting from tailwinds to headwinds for Lemonade. Ninety recommends the 'Rise to the challenge' option, specifically for Chubb, citing examples of other incumbents innovating."
Cigna,at least 236 billion USD (2024 projected),"United States, International","Health insurance, pharmacy benefits management, health services","['Decline in past strengths/struggle to maintain innovation.', 'Decreasing corporate longevity; accelerating creative destruction.', 'Over-reliance on old industry expertise is insufficient; new skill sets needed.', 'Industry headwinds: culture, new market entrants, AI, talent war, cost of living, macro changes.', ""Significant 'protection gap' and 'Great Risks protection gap' unaddressed by current insurance."", 'Innovation mostly optimizes existing risks, failing to enter new market opportunities.', 'Commercial, culture, market conditions can hinder innovation.', ""Traditional project management struggles with innovation's inherent ambiguity/uncertainty."", 'Lack of clear validation steps for innovation success (unlike start-ups).', 'Relying solely on tools/methodologies without the right mindset is insufficient.']","['Utilize customer-centric approaches for desirable products.', 'Identify and refine innovation opportunities, solve with idea generation.', 'Apply design thinking lenses (desirability, feasibility, viability) to evaluate ideas.', 'Innovation directly leads to more company value/money.', 'Introduce 10 types of insurance innovation taxonomy.', 'Strategy and clear definition are key; innovation should be inclusive.', ""Implement Ninety's 123 framework (Empathise & Define, Ideate & Stretch, Prototype, Test, Scale) for fast idea-to-market."", 'Design thinking emphasizes continuous customer focus, accountable stage gates, and iterative development.', 'Innovation requires blending creativity with discipline and robust governance.', 'Adopt a start-up mindset: validate problem, solution, and growth; leaders sponsor WeInnovate.', 'Define innovation clearly, prioritize execution over just ideas.', 'Cultivate 5 core mindsets: Curiosity, Creativity, Customer-centricity, Experimental, Fail fast.', 'Leaders must foster an environment for innovation by promoting specific mindset behaviors.']","['Innovates for global insurance sector, helps it become better at innovation.', 'Consultancy of the Year 2019, 2020, 2021 & 2022.', 'Makes innovation happen.', '90% of distributable profits go to charity; training benefits global extreme poor; recent $10k donation helped 1,452 South Sudan children.', 'Mission: To help insurers innovate and thrive.']","['Mindsets for the session: Weekend Self, Time Masters, Digi Mindful.', 'Great Risks protection gap is >$100tn, 25x current global insurance market.', 'Innovation can be categorized into visible (BAU, Core, Exploratory) and invisible types, and various organizational approaches.', 'Taxonomy for innovation includes internal mechanics, core offering, external customer experience.', '123 framework includes 5 stages: Empathise/Define, Ideate/Stretch, Prototype (3 lenses: Desirability, Feasibility, Viability), Test (2-week sprint), Scale.', 'Innovation Archetypes: Newcomer, Everyday innovator, Practitioner, Influencer, Advocate, Sponsor.']"
Dai-ichi Life NA,unknown,North America,Life and Annuities,"Inconsistent idea sourcing and filtering across regions; lack of a standardized, transparent, and fair selection process for innovation initiatives; potential for funding ideas not aligned with strategic principles; challenges in ensuring accountability and clear responsibilities; ineffective communication and feedback mechanisms for applicants; difficulty in objectively assessing and comparing diverse innovation ideas.","A structured, transparent, and principle-driven innovation funding process; standardized operating, engagement, and governance models for the fund; clear roles and responsibilities for all participants; a multi-stage selection process with objective assessment criteria; effective communication and feedback mechanisms for all stakeholders; tools and templates to standardize idea submission, assessment, and reporting.","This internal operating guide details the comprehensive framework for the Dai-ichi Life Innovation Fund (DLIF). It outlines principles, operating models, governance, and a multi-stage selection process for innovation initiatives, from local filtering to panel funding decisions. The guide aims to standardize processes, clarify roles, and ensure principle-aligned, transparent funding for transformational ideas across the Dai-ichi Group.","Client: Dai-ichi Life Group. Fund: Dai-ichi Life Innovation Fund (DLIF). Purpose: Encourage and fund transformational innovation across the group. Key Roles: Core Team, Regional Innovation Teams, Regional Wider Business, DLIF Panel, DLIF Administrators. Processes: Local Filtering, Application, Assessment, Selection Decision, Fund Transfer, Monitoring & Reporting. Assessment Criteria: Eligibility, Suitability (scored out of 12), Disruptiveness (scored out of 45). Timeline: Selection process stages range from 1 day to 2-3 months. Guiding Principles: 13 fund principles. Output: Comprehensive operating guide for an internal innovation fund."
Direct Line Group,unknown,United Kingdom,General Insurance,"Innovation productivity levels seldom mature due to insurers riding an 'innovation rollercoaster,' leading to model failure and 'organ rejection.' This cycle costs $2-10m and removes growth stimulants. Challenges include becoming too platform-focused, disempowering idea owners, acting as an elite 'ivory tower,' failing to communicate, over-committing services, targeting moon-shots too early, becoming a catch-all for all ideas, and orphaned ideas lacking sponsorship. The lab/garage/hub model is often discredited.","Prevent innovation model failure through better design, building persistent innovation success via an 'Intelligent model Ladder' (12-18 month cycles, less costly). Find the 'right peg for the right hole' using Ninety's architectural framework. Replace IdeaLab with IdeaLab 2.0 as a center for innovation support to generate, capture, and democratize ideas. Develop a fitting operating model, set innovation vision, define capabilities, and plan implementation. Implement disciplined execution, strong decision points, and progress to scale using branding/communications, methodology/tools (e.g., 123 Framework, Innovation Bootcamp), and a program of activities (self-guided digital accelerator, facilitated idea development). Provide ongoing coaching and move to a systemic program of innovation change.","Ninety is a 'Consultancy of the Year' (2019 & 2020) that innovates for the global insurance sector and helps clients improve their innovation capabilities. They offer an 'Insurance Innovation Blueprint' for predictable and effective innovation, providing an 'architectural framework for Ladder performance' and a toolkit for Chief Innovation Officers. Their offerings include the '123 Framework™' for taking new insurance ideas to market in 60 days, self-guided digital accelerators, and facilitated idea development. They provide unique insurance insights, tools, and accelerants, embedding digital innovation teams with clients to co-create solutions.","This document is an 'Insurance Innovation Blueprint' introduction for DLG, dated Jan 2021. Research context includes 4,000+ datapoints, 250 companies mapped, 75 surveyed, and 50 senior leaders interviewed. Full (115-page), highlights (70-page), and sample (5-page) reports are available. An internal design note points out a footer typo. Zurich is mentioned as a case study where Ninety delivered an innovation lab, process, and toolset (Zurich Innovation Foundry) within 10 weeks. Ninety has offices in London, New York, and Zurich."
Domestic & General,$1.4 billion USD,"UK, Europe, Australia, New Zealand, USA",Appliance extended warranty,"Slow market entry for new insurance ideas; High cost of innovation from traditional firms; Lack of internal innovation capability, culture, and structured approach; Difficulty in effective idea vetting and testing; Challenges safely integrating insurtechs and emerging technologies.","Rapid 60-day market pilot for new insurance ideas; Building internal innovation capabilities, labs, and learning; Structured methodology for innovation (123 Framework, Innovation ABC); Cost-effective, specialized insurance expertise; Co-creation with clients and customers; Flexible risk-reward options including JV and investment.","Ninety is an insurance-specialist innovation firm that helps global insurers launch new ideas to market in 60 days and build internal innovation capabilities. They utilize proprietary frameworks (123 Framework, Innovation ABC) and co-creation models to deliver accelerated, affordable solutions, often faster and cheaper than Big 4 consultants. Ninety operates as a social enterprise, returning 90% of distributable profits to charity.","Global presence in London and New York. Leverages a wide range of emerging technologies (e.g., AI, IoT, Blockchain, Chatbots). Boasts a strong blue-chip client list with case studies and testimonials (e.g., Zurich, Allianz). Mission is to help insurers innovate and thrive. Delivers social impact by supporting charitable causes with project profits."
Everest Re,USD 4.1 billion (Q1 2024 revenue),"North America, Europe, Bermuda, Asia, International","Reinsurance, Insurance, Specialty Markets","Difficulty identifying and accessing innovation; high failure rate of startups/new ideas (90%) due to lack of market need, cash, team, competition, pricing, or timing; risk of wasting time and budget on poor ideas; challenges in maintaining project momentum and ensuring results; potential workshop engagement issues.","Uncover meaningful problems, generate customer-centric ideas, establish common innovation mindset and approach, prioritize ideas using defined criteria, assess ideas via Desirability, Feasibility, Viability (DFV) lenses, break down assumptions, design experiments, facilitate Pass/Fail/Pivot decisions to ensure good ideas progress and bad ones are addressed, maintain project momentum, ensure psychological safety, utilize tools like Business Model Canvas and SCAMPER.","Ninety is an innovation consultancy for the global insurance sector, recognized as 'Consultancy of the Year' multiple times. They deliver comprehensive innovation bootcamps, guiding clients from problem identification to idea testing and project momentum using structured methodologies like BMC, DFV, and Pass/Fail/Pivot. They promote customer-centricity, creative mindsets, efficient resource allocation, and learning from failure.","Project name: Everest Eggplant. Event: 3-day Insurance Innovation Bootcamp, including separate facilitator training. Trainers: Emily, Saray. Key concepts/tools: SCAMPER, Business Model Canvas (DFV), Dot Voting, Impact/Effort Matrix, Pass/Fail/Pivot framework. Some content includes Spanish terms. Document has inconsistencies in timings and an erroneous end date."
Experian,6.623 billion USD,"Global (over 30 countries), North America, LATAM, UK&I, EMEA/APAC",unknown,"Need for fail-fast validation, internal blockers to innovation, lack of clear innovation direction/starting point, difficulty gaining executive sponsorship for innovation, potential skills/resource gaps in innovation teams, businesses struggle to manage risk for optimal insurance deals.","Structured approach for rapid idea validation (fail-fast, experimentation), clear evidence of idea desirability/feasibility/viability, market-ready propositions, scalable innovation, financial and customer benefits, enhanced internal innovation capabilities, executive buy-in for innovation, optimized operating models for innovation, trained innovation teams, new product development (e.g., social innovation fund), better risk management for insurance deals.","Ninety offers a 123 Framework® for insurance proposition development and market pilot launch, including Stage 1 MVP (1-day) and Stage 2 Design Sprints (2 weeks) using an Experiments WorkbenchTM for lean validation. They provide innovation training through an 'Innovation ABC® journey' and 'Insurance Innovation Bootcamp' to build client capabilities, secure executive buy-in, design operating models, and manage innovation portfolios. Ninety facilitates customer-centric design and offers support for social innovation initiatives.","Documents from Nov 2019, Feb 2020, Mar 2020. Ninety operates in London, New York, Zurich. Key framework stages: Grasp, Filter, Ideate, Design Sprint, Pilot Prep, Market Pilot, Scale. Uses customer archetypes: Pioneer, Settler, Sheriff. Experian project focuses on 'Risk Score' to help businesses with risk management for insurance. Participation requires various topic leads and customer involvement. Ninety was 'Consultancy of the Year 2019'."
Generali,24.5 billion USD,"Europe, Asia, Latin America","Life, Property & Casualty","Generali is not capturing growth from complex societal risks; startups are better at spotting opportunities but lack Generali's scale; current Generali Ventures setup prevents co-investment, lacks business link, and dedicated FTEs; competitors are actively investing; high pressure due to growing needs, regulation, and saturated markets; lack of in-house VC teams and misalignment with external funds.",Capture societal risk opportunities leveraging existing distribution; establish new coordination structures and externalized ventures; form cross-cutting coalition with external experts (including Ninety); launch 2 pilots with pipeline; secure exec sponsorship and POC funding; implement Generali Ventures 2.0 (recommended: €100M co-led fund with BUs); utilize VC-as-a-Service for expertise and de-risking.,Ninety is identified as a potential 'societal risk innovation partner' to add strength to Generali's new cross-cutting coalition coordinating innovation in societal risks.,"Document is a DRAFT FOR DISCUSSION, May 2024. Focus is on social cohesion, income, healthcare, and elder care risks. Opportunity could increase Group results by 5-10% with attractive unit economics. VC market is recovering from a 2023 correction, showing strong Q1-24 performance and positive returns. Generali Ventures (€250M) was established for strategic investments. Competitors like AXA, Munich Re, Allianz, and Zurich are actively investing in InsurTech/CyberTech. VCaaS is a model used by others like AXA Venture Partners."
Global HDI,unknown,Germany,Industrial insurance,"Autopopulation for critical financial and actuals data is failing or incomplete. Inconsistent instructions exist on which sections are editable vs. auto-populated. No actual cost or hour tracking is present, making profitability assessment impossible.","Ensure reliable autopopulation of all cost, actual hours, and financial metrics. Clarify and standardize instructions for sheet usage. Implement robust mechanisms for tracking actual costs and time spent on projects.","The Global HDI Gilbert project has a fixed budget of 39900. While planned sales are 39900, the dashboard critically lacks actual cost data, actual hours worked, and therefore real-time profitability metrics. Many sections meant to autopopulate are empty, zero, or show 'Loading...'.","Client: Global HDI. Project: Global HDI Gilbert. Budget: 39900. Pricing structure: Fixed. Payment notes: 50% upfront, 50% when agreed with client. Planned resources: Nick Reed (84 hrs), Katy Sidebotham (20 hrs). Toby Harvey Scholes (0 hrs). Standard hourly rates for various roles are listed. Dashboard dated 2025-11-12. Resource plan dates: 2023-04-03 to 2023-09-11."
Hannover Re,15.09 billion USD (H1 2024),Global,Reinsurance,"Clients struggle to uncover meaningful problems, prioritize ideas, assess viability, develop customer-centric propositions, and avoid common innovation failures like 'no market need' or 'wasting budget/time'. They also face challenges with execution, lack of critical evaluation, prolonged investment in bad ideas, and stakeholder engagement.","Ninety teaches clients to uncover meaningful problems, prioritize ideas using DVF lenses, adopt customer-centricity, build a common innovation mindset, validate assumptions via experiments, foster creativity through diverse stimuli and psychological safety, use structured prioritization methods (e.g., impact/effort, must-haves), employ the Business Model Canvas for idea assessment, and apply a 'Pass, Fail, Pivot' methodology to save time/money and ensure execution of the right ideas. They also promote iterating on ideas and celebrating failure as a learning opportunity.","Ninety innovates for the global insurance sector, helping clients become better at innovation. They are multi-award-winning consultants (e.g., Consultancy of the Year 2019, 2020, 2021) based in London, New York, and Zurich. Ninety incubates bold ideas, upskills insurer teams, and creates innovation structures. As a social enterprise, 90% of their distributable profits go to charity, linking client training to global extreme poverty relief.","This text is from an 'Insurance Innovation Bootcamp: Day 2' agenda, covering topics like creativity, prioritization, Idea 360, and Pass/Fail/Pivot. It references various innovation methodologies and tools such as the Mum test, SCAMPER, Desirability/Feasibility/Viability (DVF), Business Model Canvas, Impact/Effort matrix, Dot voting, and the concept of pivots from 'The Lean Startup'. It includes specific exercises like a 'Climate Levy' case study and a 'Sponsor's swing-o-metre' for decision-making. Contact information for Emily Gardner is provided."
Hiscox,"$5,321,300,000","UK, USA, Europe, Bermuda, Asia",Specialty & Commercial Insurance,"Hiscox UK's 2014-2020 strategy is ending, requiring a new strategy through to 2025 for all UK business lines (excluding Lloyds market and reinsurance).","Sustainably double the business by 2025, achieving GWP >£1bn, Expense Ratio <40%, COR 90%, ROE 15-20%. Outline 3 scenario options for the HIC Board, building on the existing business position.","Ninety will provide core content expertise and workshop facilitation to help Hiscox UK develop its 2025 strategy. This involves scenario development, market analysis, stress testing, creating Business Model Canvases (BMCs), modelling review, prioritizing initiatives, and defining the 2025 business and operating models with transition states.","Ninety's team includes a Senior Partner, Delivery Director, Innovation Lead, Innovation Consultant, and optional Strategy research specialist. The engagement will operate as 'one team' collaboratively with Hiscox. Fees are £75-90k indicative net + expenses & tax, on a T&M basis with weekly reconciliations. 90% of Ninety's distributable profits go to social causes."
IFHP,unknown,"USA, Illinois",Health insurance,"High corporate churn (50% S&P 500 replaced in a decade), 50% workforce reskilling needed by 2025, market pressures (AI, talent war, cost of living), insurance industry under-innovates in 'Great Risks protection gap,' tools alone are insufficient without mindset, cultural change failures due to lack of senior leadership action.","Ninety's 8 innovation leadership elements (Culture, Leadership, Decisions, Collaboration, Execution, Learning, Risks, Accountability), Innovation Leadership Programme, 123 framework® for rapid insurance idea-to-market in 60 days, customer-centricity, iteration, accountable stage gates, specific leadership sponsorship roles, five key innovation mindsets (experimental, curiosity, creativity, fail fast, customer centricity), support for Innovation Archetypes, leaders must model desired behaviors.","Award-winning consultancy (2019-2022) and learning provider (2024 Silver) specializing in innovation, particularly insurance. Offers best-in-class innovation training and leadership programs with proprietary frameworks. Driven by a mission to change the world, channeling 90% of distributable profits to poverty alleviation, demonstrated by significant social impact metrics.","Facilitators include Emily Gardner, Nick Reed, Saray. Program is 'Part 1' of a two-step process. Internal session mindsets are Weekend Self, Time Masters, Digi Mindful, Mutual Support. Uses models like Horizons and Icebergs, advocates Agile methodology. Features AXA Global Healthcare case study. Mentions specific program agendas and external research references (WEF, Innosight)."
Insurtech ie,unknown,unknown,unknown,"No clear, separate innovation strategy; staff lack time, space, tools, skills, and training for innovation; limited direct customer engagement for innovation; innovation monitoring uses existing change methods; no formal innovation process or support; heavy processes hinder partnerships and idea execution; senior leaders have limited time for innovation; unclear innovation appetite; focus on incremental changes; inconsistent visibility and communication of innovation; low tolerance for failure; lack of clear accountability; no ringfenced funding for bold, early-stage ideas; inconsistent innovation objectives and limited awareness of trends.","Develop a dedicated innovation strategy and articulate ambition; senior leadership to dedicate time to innovation; increase direct customer engagement and link insights to strategy; improve cross-functional collaboration; introduce an accountability framework and 'fail fast' methodology; regularly communicate innovation activities and successes; embed a culture of empowerment; provide innovation tools; simplify processes for innovation projects and partnerships; introduce a simple, accessible innovation process and resources; create separate funding/rules for early-stage innovation; establish an innovator network; offer innovation skills training; share external innovation insights and link to strategy; clarify long-term partnership strategy.","Ninety's insurance innovation industry benchmarks (73 insurers) were used for comparison. Ninety's colleagues developed a process, 'identifying a blueprint,' for understanding and developing innovation maturity, codifying 9 key capabilities for effective insurance innovation.","This is an Innovation Maturity Assessment report for AXA DAC, prepared by Suzanne Brennan from InsTech.ie in March 2023. It outlines findings, recommendations, and industry benchmarks. The methodology included qualitative interviews, a 50-question staff survey, and industry insights. AXA DAC's overall maturity is in line with global benchmarks. The report assesses 7 focus areas: Strategy, Engagement, Monitoring, Empowerment, Process, Learning, and Partnering. AXA DAC scores higher than average on strategy and monitoring due to general business practices, not dedicated innovation approaches, but lower than average on innovation process and learning."
